timestamp,zone_id,latitude,longitude,traffic_speed,vehicle_count,road_type,weather,is_holiday,is_special_event,distance_km,travel_time_min
2026-03-15 17:02:17.445423,H1,12.932186814566789,77.53166353192562,25.3,135,highway,rain,1,0,4.9,14.5
2026-03-15 17:02:17.445423,H2,12.935819291583085,77.43843408980266,52.05,117,highway,clear,1,0,7.63,12.83
2026-03-15 17:02:17.445423,C1,12.8330242596482,77.46817161653543,28.75,82,city,clear,1,0,7.4,16.8
2026-03-15 17:02:17.445423,C2,12.80635779043896,77.69120940731847,8.0,104,city,rain,1,0,8.56,66.86
2026-03-15 17:02:17.445423,C3,12.746286847620263,77.60491468597273,8.0,104,city,rain,1,0,5.87,47.05
2026-03-15 17:02:17.445423,R1,12.756841407725286,77.43897645160064,48.06,53,rural,clear,1,0,8.99,13.09
2026-03-15 17:02:17.445423,R2,12.94967794041856,77.64142930724904,47.51,61,rural,clear,1,0,7.95,12.28
2026-03-15 18:02:17.445423,R2,12.814306367828944,77.49045362674435,40.93,46,rural,clear,1,0,4.85,6.54
2026-03-15 18:02:17.445423,R1,12.916707805178934,77.53856316907542,46.12,60,rural,clear,1,0,8.39,13.12
2026-03-15 18:02:17.445423,C3,12.935169462731924,77.59929406209821,20.61,93,city,clear,1,0,6.77,21.01
2026-03-15 18:02:17.445423,H2,12.741939099438296,77.43435902206079,26.37,135,highway,rain,1,0,6.83,18.49
2026-03-15 18:02:17.445423,C1,12.866073820197398,77.56776214822362,22.49,87,city,clear,1,0,9.22,26.04
2026-03-15 18:02:17.445423,H1,12.7022086809253,77.63607731325064,35.24,116,highway,rain,1,0,6.56,12.53
2026-03-15 18:02:17.445423,C2,12.95602092198045,77.4701818457596,23.83,93,city,clear,1,0,8.88,23.58
2026-03-15 19:02:17.445423,R1,12.706841161308908,77.68756776397242,47.19,62,rural,clear,1,0,11.49,20.22
2026-03-15 19:02:17.445423,R2,12.981347936492494,77.57151841571282,40.59,62,rural,clear,1,0,6.67,10.18
2026-03-15 19:02:17.445423,C3,12.731020890316765,77.5762933716533,23.68,82,city,clear,1,0,4.75,14.62
2026-03-15 19:02:17.445423,H2,12.781672468553547,77.42891728864605,35.17,124,highway,fog,1,0,8.37,17.11
2026-03-15 19:02:17.445423,C1,12.753031834881769,77.65698428522771,9.79,103,city,rain,1,0,7.54,50.69
2026-03-15 19:02:17.445423,H1,12.972574207212281,77.60991214014322,46.97,120,highway,clear,1,0,8.98,12.46
2026-03-15 19:02:17.445423,C2,12.894953980466445,77.42533329634196,29.06,91,city,clear,1,0,9.17,21.29
2026-03-15 20:02:17.445423,H1,12.706483623964099,77.6478875772583,38.68,81,highway,rain,1,0,4.15,7.33
2026-03-15 20:02:17.445423,H2,12.784370135151702,77.59782679040757,46.21,84,highway,rain,1,0,6.5,8.34
2026-03-15 20:02:17.445423,C1,12.711223766852854,77.56645574081745,36.51,38,city,clear,1,0,5.69,11.51
2026-03-15 20:02:17.445423,C2,12.787275351442036,77.55451713876951,34.76,39,city,clear,1,0,6.59,10.32
2026-03-15 20:02:17.445423,C3,12.997712669216751,77.66750317987648,15.41,64,city,rain,1,0,8.07,34.68
2026-03-15 20:02:17.445423,R1,12.931603729633297,77.59849837895032,57.9,18,rural,clear,1,0,7.87,6.67
2026-03-15 20:02:17.445423,R2,12.772291172501705,77.43682737972344,35.29,31,rural,rain,1,0,10.42,16.68
2026-03-15 21:02:17.445423,R1,12.840214480466587,77.63542903477565,47.76,24,rural,clear,1,0,6.19,5.04
2026-03-15 21:02:17.445423,R2,12.859230877179716,77.58180474621,31.28,50,rural,rain,1,0,5.75,11.88
2026-03-15 21:02:17.445423,C3,12.731769221125226,77.44210187911916,35.81,65,city,clear,1,0,5.79,10.58
2026-03-15 21:02:17.445423,H2,12.739546665335956,77.60329760208386,55.11,64,highway,clear,1,0,5.06,5.47
2026-03-15 21:02:17.445423,C1,12.941237357854678,77.61462213888474,14.12,63,city,rain,1,0,6.84,31.84
2026-03-15 21:02:17.445423,H1,12.793097101870028,77.63322145147235,50.79,72,highway,fog,1,0,8.18,13.21
2026-03-15 21:02:17.445423,C2,12.898859263829074,77.68668697711409,32.08,39,city,clear,1,0,7.98,15.98
2026-03-15 22:02:17.445423,H1,12.960247189525697,77.53616906462288,55.89,54,highway,clear,1,0,11.17,17.43
2026-03-15 22:02:17.445423,H2,12.719967657086553,77.57833009912693,52.01,78,highway,clear,1,0,7.01,10.81
2026-03-15 22:02:17.445423,C1,12.749659516820584,77.48541602470138,32.93,34,city,clear,1,0,6.97,13.72
2026-03-15 22:02:17.445423,C2,12.716014579788153,77.57734314483329,17.29,64,city,rain,1,0,7.61,27.68
2026-03-15 22:02:17.445423,C3,12.955339488046661,77.41304251860383,36.31,67,city,clear,1,0,10.65,19.51
2026-03-15 22:02:17.445423,R1,12.714776235978277,77.51208424153786,57.96,10,rural,clear,1,0,8.03,9.23
2026-03-15 22:02:17.445423,R2,12.729733942473962,77.65307248547933,44.99,14,rural,fog,1,0,8.03,11.06
2026-03-15 23:02:17.445423,R2,12.878104601339906,77.63478723138886,38.21,24,rural,rain,1,0,5.07,7.43
2026-03-15 23:02:17.445423,R1,12.72852872446898,77.61771468848143,52.93,10,rural,clear,1,0,5.16,5.27
2026-03-15 23:02:17.445423,C3,12.889875288780285,77.48644668425473,20.99,53,city,rain,1,0,7.12,23.17
2026-03-15 23:02:17.445423,C2,12.844273128490023,77.49850836150141,31.32,58,city,clear,1,0,9.16,18.26
2026-03-15 23:02:17.445423,H2,12.891868981371132,77.47993899525025,62.31,50,highway,clear,1,0,10.95,9.25
2026-03-15 23:02:17.445423,H1,12.933698906373438,77.44036566252394,64.01,66,highway,clear,1,0,2.37,3.96
2026-03-15 23:02:17.445423,C1,12.809917734947874,77.49824866932376,32.18,36,city,clear,1,0,10.1,20.42
2026-03-16 00:02:17.445423,H1,12.884849710007236,77.45138739122784,43.91,94,highway,clear,0,0,8.11,13.07
2026-03-16 00:02:17.445423,H2,12.939773414953619,77.54764596467263,57.06,85,highway,clear,0,0,4.34,8.47
2026-03-16 00:02:17.445423,C1,12.897358985512158,77.52558249023711,14.75,94,city,rain,0,0,7.97,34.63
2026-03-16 00:02:17.445423,C2,12.781160482273052,77.50925760533161,29.29,68,city,clear,0,0,9.5,19.23
2026-03-16 00:02:17.445423,C3,12.814995946833223,77.61890571260321,29.47,63,city,clear,0,0,9.19,19.99
2026-03-16 00:02:17.445423,R1,12.995989463477295,77.61532807080108,49.35,52,rural,fog,0,0,7.09,6.65
2026-03-16 00:02:17.445423,R2,12.876477399990765,77.60582890953164,39.59,50,rural,clear,0,0,5.0,6.17
2026-03-16 01:02:17.445423,R1,12.88900355337292,77.65533932992858,46.41,28,rural,clear,0,0,6.78,10.54
2026-03-16 01:02:17.445423,R2,12.994061435469604,77.58346308179311,51.32,31,rural,clear,0,0,7.24,6.34
